ID;MOTHER;FATHER
D1L3_54;D1;L3
D5L2_55;D5;L2
D5L2_56;D5;L2
D5L2_57;D5;L2
D3L2_55;D3;L2
D3L2_56;D3;L2
D3L2_57;D3;L2
D2L3_55;D2;L3
D2L3_56;D2;L3
D2L3_57;D2;L3
D1L3_55;D1;L3
D1L3_56;D1;L3
D1L3_57;D1;L3
D5L2_58;D5;L2
D5L2_59;D5;L2
D5L2_60;D5;L2
D3L2_58;D3;L2
D3L2_59;D3;L2
D3L2_60;D3;L2
D2L3_58;D2;L3
D2L3_59;D2;L3
D2L3_60;D2;L3
D1L3_58;D1;L3
D1L3_59;D1;L3
D1L3_60;D1;L3
D3L2_61;D3;L2
D3L2_62;D3;L2
D3L2_63;D3;L2
D2L1_106;D2;L1
D2L1_107;D2;L1
D2L1_108;D2;L1
D2L1_109;D2;L1
D2L1_110;D2;L1
D2L1_111;D2;L1
D3L3_76;D3;L3
D3L3_77;D3;L3
D3L3_78;D3;L3
D3L2_64;D3;L2
D3L2_65;D3;L2
D3L2_66;D3;L2
D2L1_112;D2;L1
D2L1_113;D2;L1
D2L1_114;D2;L1
D2L1_115;D2;L1
D2L1_116;D2;L1
D2L1_117;D2;L1
D3L3_79;D3;L3
D3L3_80;D3;L3
D3L3_81;D3;L3
D3L2_67;D3;L2
D3L2_68;D3;L2
D3L2_69;D3;L2
D2L1_118;D2;L1
D2L1_119;D2;L1
D2L1_120;D2;L1
D2L1_121;D2;L1
D2L1_122;D2;L1
D2L1_123;D2;L1
D3L3_82;D3;L3
D3L3_83;D3;L3
D3L3_84;D3;L3
D3L2_70;D3;L2
D3L2_71;D3;L2
D3L2_72;D3;L2
D2L1_124;D2;L1
D2L1_125;D2;L1
D2L1_126;D2;L1
D2L1_127;D2;L1
D2L1_128;D2;L1
D2L1_129;D2;L1
D3L3_85;D3;L3
D3L3_86;D3;L3
D3L3_87;D3;L3
D3L2_73;D3;L2
D3L2_74;D3;L2
D3L2_75;D3;L2
D2L1_130;D2;L1
D2L1_131;D2;L1
D2L1_132;D2;L1
D2L1_133;D2;L1
D2L1_134;D2;L1
D2L1_135;D2;L1
D3L3_88;D3;L3
D3L3_89;D3;L3
D3L3_90;D3;L3
D5L3_61;D5;L3
D5L3_62;D5;L3
D5L3_63;D5;L3
D2L2_61;D2;L2
D2L2_62;D2;L2
D2L2_63;D2;L2
D2Y1_61;D2;Y1
